time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
3000,2021-06-25 14:35:28,36.162452,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.50107456,0.294560048796,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.294560048796,0.447388,0.223694,0,13.7, 8.9, -1.8,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3110,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.50107456,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.447388,0.223694,0,13.7, 8.9, -1.5,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3200,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.50107456,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.447388,0.223694,0,13.7, 8.5, -1.7,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3620,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.447388,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.447388,0,0,13.6, 8.4, -1.4,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3640,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.50107456,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.447388,0,-0.223694,13.8, 9.6, -1.8,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3750,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.63305402,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.447388,0,-0.447388,13.7, 9.1, -2.2,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3760,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.447388,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.447388,0,0,13.6, 8.3, -2.2,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3870,2021-06-25 14:35:28,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.671082,0.468914057,11,0,15.869,1049.2348393498,11.154856,7.49598594,0.468914057,0.671082,0,0,13.6, 8, -2.2,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,9.49,84.2,1048.9067553498,10.826772,6,P-GPS,
3990,2021-06-25 14:35:29,36.162453,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.671082,0.468914057,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.468914057,0.671082,0,0,13.5, 8.3, -1.7,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.9067553498,10.826772,6,P-GPS,
4510,2021-06-25 14:35:29,36.162453,-96.835597,10.498688,10.5314964,1038.0471749498,1048.5786713498,11.48294,0.671082,0.468914057,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.468914057,0.671082,0,0,13.6, 9.3, -1.2,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
4530,2021-06-25 14:35:29,36.162454,-96.835597,10.498688,10.498688,1038.0799833498,1048.5786713498,11.48294,0.447388,0.786909474,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.786909474,0.447388,0,0,13.6, 9.5, -0.6,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
4550,2021-06-25 14:35:29,36.162454,-96.835597,10.498688,10.498688,1038.0799833498,1048.5786713498,11.48294,0.447388,0.786909474,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.786909474,0.447388,0,0,13.6, 9.4, -0.6,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
