Time,RSSI,RelativeLatitude,RelativeLongitude,Height
2021-06-25 14:38:18.556139,-73,-0.00013599999999769352,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:19.105605,-72,-0.00013599999999769352,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:19.631397,-77,-0.00013599999999769352,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:20.220082,-77,-0.00013500000000021828,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:20.771360,-71,-0.0001299999999986312,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:21.345458,-69,-0.00012100000000003774,0.00020399999999654028,3.9371753498001
2021-06-25 14:38:21.896859,-68,-0.00010600000000238197,0.00020100000000411455,3.9371753498001
2021-06-25 14:38:22.426343,-66,-9.399999999715192e-05,0.00019999999999242846,3.9371753498001
2021-06-25 14:38:22.999667,-64,-7.999999999697138e-05,0.00019999999999242846,3.9371753498001
2021-06-25 14:38:23.519093,-63,-6.799999999884676e-05,0.00020100000000411455,4.26525934980009
2021-06-25 14:38:24.090270,-62,-5.3999999998666226e-05,0.0002020000000015898,4.26525934980009
2021-06-25 14:38:24.599224,-60,-4.400000000259752e-05,0.00020299999999906504,4.26525934980009
2021-06-25 14:38:25.179324,-59,-3.199999999736747e-05,0.00020499999999401552,4.26525934980009
2021-06-25 14:38:25.729460,-56,-2.200000000129876e-05,0.00020700000000317686,4.26525934980009
2021-06-25 14:38:26.281096,-54,-1.0000000003174137e-05,0.0002080000000006521,4.26525934980009
2021-06-25 14:38:26.828978,-50,0.0,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:27.370266,-47,1.1999999998124622e-05,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:27.922132,-44,2.2999999998774e-05,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:28.489840,-42,3.499999999689862e-05,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:29.042580,-42,4.500000000007276e-05,0.0002080000000006521,4.26525934980009
2021-06-25 14:38:29.605344,-45,5.999999999772854e-05,0.00020600000000570162,4.26525934980009
2021-06-25 14:38:30.131066,-49,7.000000000090267e-05,0.00020499999999401552,4.5933433498000795
2021-06-25 14:38:30.683945,-49,8.19999999990273e-05,0.00020499999999401552,4.5933433498000795
2021-06-25 14:38:31.231295,-49,8.900000000267028e-05,0.00020499999999401552,4.5933433498000795
2021-06-25 14:38:31.790749,-50,0.0001010000000007949,0.00020700000000317686,4.26525934980009
2021-06-25 14:38:32.338987,-52,0.00011099999999686361,0.00020600000000570162,4.26525934980009
2021-06-25 14:38:32.866698,-53,0.00012499999999704414,0.00020700000000317686,4.26525934980009
2021-06-25 14:38:33.481541,-55,0.0001370000000022742,0.00020700000000317686,4.26525934980009
2021-06-25 14:38:34.007072,-57,0.00014500000000339242,0.00020700000000317686,4.5933433498000795
2021-06-25 14:38:34.549779,-58,0.00015499999999946112,0.00020700000000317686,4.26525934980009
2021-06-25 14:38:35.102601,-60,0.00016800000000216642,0.00020600000000570162,4.26525934980009
2021-06-25 14:38:35.655179,-61,0.00018200000000234695,0.00020399999999654028,4.26525934980009
2021-06-25 14:38:36.206811,-62,0.00019199999999841566,0.00020299999999906504,4.26525934980009
2021-06-25 14:38:36.736269,-63,0.00019999999999953388,0.00020399999999654028,4.26525934980009
2021-06-25 14:38:37.350481,-64,0.00021000000000270802,0.00020700000000317686,4.26525934980009
2021-06-25 14:38:37.897819,-64,0.0002190000000013015,0.0002080000000006521,4.26525934980009
2021-06-25 14:38:38.425465,-66,0.00022599999999783904,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:38.998188,-66,0.00023600000000101318,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:39.514945,-66,0.00024499999999960664,0.00020700000000317686,3.9371753498001
2021-06-25 14:38:40.085834,-69,0.00025099999999866895,0.00020499999999401552,4.26525934980009
2021-06-25 14:38:40.596115,-68,0.0002599999999972624,0.00020399999999654028,4.26525934980009
2021-06-25 14:38:41.180172,-67,0.0002649999999988495,0.00020399999999654028,4.26525934980009
2021-06-25 14:38:41.729694,-67,0.00026600000000343016,0.00020399999999654028,4.26525934980009
2021-06-25 14:38:42.281543,-68,0.00026600000000343016,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:42.833185,-67,0.0002649999999988495,0.00020600000000570162,3.9371753498001
2021-06-25 14:38:43.383868,-67,0.0002649999999988495,0.00020600000000570162,3.9371753498001
2021-06-25 14:38:43.936724,-67,0.00026400000000137425,0.00020499999999401552,3.9371753498001
2021-06-25 14:38:44.497890,-67,0.00026400000000137425,0.00020399999999654028,3.9371753498001
2021-06-25 14:38:45.039244,-67,0.00026400000000137425,0.00020399999999654028,3.9371753498001
2021-06-25 14:38:45.590901,-69,0.00026400000000137425,0.00020399999999654028,3.9371753498001
2021-06-25 14:38:46.143790,-69,0.00026400000000137425,0.00020399999999654028,3.9371753498001
2021-06-25 14:38:46.696604,-67,0.0002589999999997872,0.00020600000000570162,3.9371753498001
2021-06-25 14:38:47.242425,-65,0.0002500000000011937,0.00020700000000317686,3.9371753498001
2021-06-25 14:38:47.792906,-64,0.00023300000000148202,0.00020899999999812735,4.26525934980009
2021-06-25 14:38:48.350401,-64,0.00022400000000288856,0.00021099999999307784,4.26525934980009
2021-06-25 14:38:48.902900,-62,0.00021499999999718966,0.00021200000000476393,4.5933433498000795
2021-06-25 14:38:49.454007,-61,0.0002020000000015898,0.00021300000000223918,4.26525934980009
2021-06-25 14:38:50.011120,-59,0.00019400000000047157,0.00021200000000476393,4.26525934980009
2021-06-25 14:38:50.560351,-57,0.00018099999999776628,0.00021200000000476393,4.26525934980009
2021-06-25 14:38:51.106880,-57,0.00017199999999917281,0.00021200000000476393,4.26525934980009
